@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute exclamation_marks numeric
@attribute question_marks numeric
@attribute dot_marks numeric
@attribute word_count numeric
@attribute happy_emoji numeric
@attribute angry_emoji numeric
@attribute dcs_list_score numeric
@attribute positive_list numeric
@attribute negative_list numeric
@attribute posemo_list numeric
@attribute negemo_list numeric
@data
neutral,0,0,2,20,0,0,-0.52,0,1,0,0
positive,0,0,0,14,0,0,-0.62,0,0,0,0
neutral,0,0,6,17,0,0,-0.04,0,0,1,1
positive,1,0,0,20,0,0,-1.64,0,1,0,0
objective,3,0,2,22,0,0,-0.31,2,0,4,4
neutral,0,0,2,21,0,0,-0.09,0,2,1,1
objective,0,0,1,19,0,0,-0.77,0,0,0,0
neutral,1,0,1,16,0,0,-1.09,1,1,0,0
neutral,0,0,4,25,1,0,-0.79,0,0,0,0
objective,0,0,0,20,0,0,-0.21,3,1,0,0
positive,1,0,0,27,0,0,-0.10,1,1,1,1
positive,0,0,2,14,0,0,-0.04,3,0,3,3
objective,0,0,4,23,0,0,-0.76,0,2,0,0
positive,0,1,0,8,0,0,-0.24,0,0,1,1
objective,2,0,4,26,0,0,-2.52,1,0,0,0
neutral,0,1,0,12,0,0,-0.54,0,0,0,0
objective,0,0,1,26,0,0,-1.09,1,0,0,0
positive,0,1,0,23,0,0,-2.08,0,1,0,0
positive,0,0,4,22,0,0,-0.14,1,1,3,3
neutral,0,2,1,26,0,0,-0.71,2,1,0,0
neutral,1,0,0,14,0,0,0.04,0,0,0,0
objective,0,0,0,22,0,0,-0.79,1,2,1,1
objective,0,0,5,27,0,0,-2.57,3,1,0,0
positive,0,0,2,25,0,0,-2.36,2,1,1,1
neutral,0,0,6,27,0,0,-1.22,1,5,0,0
neutral,5,0,0,25,0,0,0.12,3,1,1,1
neutral,0,0,1,17,0,0,-0.80,1,1,0,0
negative,0,0,0,25,0,0,-0.53,1,0,1,1
neutral,0,0,2,22,0,0,-1.33,1,0,0,0
negative,3,0,3,8,0,0,-0.33,0,0,1,1
objective,0,0,2,19,0,0,-1.58,1,1,0,0
positive,0,0,1,19,1,0,0.52,2,0,0,0
negative,1,0,0,21,0,0,-0.99,2,1,0,0
positive,0,0,7,26,0,0,-0.32,2,1,2,2
neutral,2,0,0,15,0,0,-0.84,0,1,0,0
objective,0,0,2,27,0,0,-1.78,1,1,1,1
positive,1,0,0,10,0,0,-0.90,2,0,2,2
neutral,0,0,2,14,0,0,-0.62,1,0,0,0
objective,0,0,4,33,0,0,-1.45,0,1,0,0
negative,0,0,3,23,0,0,-2.05,0,0,0,0
positive,2,0,1,11,0,0,0.76,1,0,0,0
positive,0,0,3,18,0,0,-0.04,1,0,2,2
neutral,0,0,0,22,0,0,-2.00,0,1,0,0
positive,6,0,0,2,0,0,0.00,0,0,0,0
objective,0,0,0,26,0,0,-1.22,4,1,1,1
objective,0,0,5,17,0,0,-0.64,0,1,0,0
negative,0,0,1,23,0,0,-1.85,1,3,2,2
positive,0,0,0,12,0,0,-1.33,1,2,0,0
negative,1,0,1,28,0,0,-1.42,0,1,0,0
neutral,0,0,5,20,0,0,0.34,2,0,0,0
positive,1,0,3,21,0,0,0.22,1,0,1,1
positive,2,0,0,13,0,0,1.30,3,1,3,3
negative,0,1,0,14,0,0,-0.05,0,0,0,0
positive,2,0,1,27,0,0,0.19,1,0,2,2
positive,0,0,2,14,0,0,-0.06,1,1,2,2
neutral,0,0,1,57,0,0,0.34,3,3,4,4
objective,1,0,1,17,0,0,-1.40,1,1,0,0
positive,2,0,0,24,0,0,-0.49,2,1,1,1
positive,2,0,2,22,1,0,-0.29,3,0,3,3
positive,1,0,0,15,0,0,-0.03,2,1,1,1
objective,0,0,4,25,0,0,-0.55,2,2,0,0
positive,0,0,3,24,0,0,-0.55,3,1,1,1
neutral,0,0,5,24,0,0,-1.57,1,3,0,0
objective,1,0,3,29,0,0,0.48,1,0,1,1
objective,0,1,0,18,0,0,-1.90,1,1,1,1
neutral,0,0,1,19,0,0,-0.68,1,0,0,0
objective,1,0,1,19,0,0,-0.71,0,1,0,0
objective,0,0,2,23,0,0,-0.99,2,0,0,0
negative,0,0,1,27,0,0,-0.94,1,1,0,0
positive,0,0,4,27,0,0,-1.33,3,0,1,1
positive,2,0,0,25,1,0,-2.29,3,1,1,1
positive,0,0,0,5,0,0,0.00,0,0,1,1
positive,0,3,0,9,0,0,-0.65,0,0,0,0
neutral,0,0,2,18,0,0,-0.67,1,3,0,0
neutral,0,0,1,19,0,0,-0.71,3,1,3,3
neutral,0,2,1,18,0,0,-0.38,0,1,1,1
neutral,0,0,6,26,0,0,-1.70,3,1,0,0
negative,0,0,7,28,0,0,-0.34,0,3,0,0
positive,1,1,1,17,6,0,-0.65,1,0,1,1
positive,2,0,3,23,0,0,-1.17,2,1,3,3
positive,1,1,2,23,0,0,0.23,0,0,0,0
objective,0,1,0,9,0,0,-0.46,1,0,0,0
neutral,0,2,0,24,0,0,-1.72,1,2,0,0
positive,0,1,0,13,0,0,0.28,3,1,1,1
positive,0,0,0,23,0,0,-1.18,1,2,2,2
positive,0,0,1,27,0,0,-2.48,5,5,3,3
negative,0,0,4,19,0,0,-0.46,0,0,1,1
objective,0,1,0,4,0,0,-0.02,0,0,0,0
objective,2,0,0,16,0,0,0.17,1,1,0,0
objective,0,0,4,24,0,0,-0.96,0,0,0,0
neutral,0,0,2,22,0,0,-0.31,4,2,3,3
negative,0,0,4,24,0,0,-1.58,0,1,0,0
neutral,0,0,0,19,0,0,-0.82,1,1,0,0
neutral,0,0,0,24,0,0,-1.09,1,0,0,0
neutral,0,0,5,26,0,0,-1.29,2,1,2,2
objective,0,0,0,16,0,0,-1.33,0,0,0,0
negative,0,0,3,19,0,0,-2.71,1,1,0,0
neutral,0,0,6,26,0,0,-0.81,2,3,1,1
neutral,0,0,2,26,0,0,0.25,3,2,0,0
neutral,0,0,0,9,0,0,0.03,1,0,0,0
positive,2,0,0,24,0,0,-0.72,1,0,1,1
neutral,1,1,1,25,0,0,-4.10,1,1,1,1
neutral,1,0,4,22,0,0,-0.93,1,1,2,2
negative,0,0,3,28,0,1,-1.81,3,2,1,1
positive,0,0,2,17,0,0,-0.29,0,1,0,0
positive,0,0,1,13,0,0,0.73,3,1,2,2
positive,0,0,2,11,0,0,-0.05,0,1,0,0
positive,0,0,2,18,0,0,-1.82,2,1,1,1
positive,0,1,0,23,0,0,-0.99,0,2,3,3
negative,2,0,12,24,0,0,-1.52,0,0,0,0
objective,0,0,1,18,0,0,-0.19,1,0,0,0
neutral,0,0,0,15,0,0,-0.26,1,1,0,0
negative,0,0,0,18,0,0,0.40,2,0,0,0
objective,0,0,8,28,0,0,-1.36,5,3,0,0
objective,0,1,0,22,0,0,-0.77,0,0,0,0
objective,0,0,1,25,0,0,-3.44,1,1,0,0
neutral,0,1,0,23,0,0,-1.39,0,0,0,0
objective,0,0,0,12,0,0,-0.16,0,1,1,1
neutral,0,2,2,24,0,0,-0.49,0,1,0,0
negative,0,0,2,25,0,0,-0.41,1,0,1,1
neutral,3,0,4,25,0,0,-1.30,2,3,0,0
positive,0,0,0,16,0,0,-0.75,3,0,1,1
objective,0,1,0,17,0,0,-1.55,3,2,0,0
objective,0,0,1,21,0,0,-1.09,2,1,0,0
negative,0,0,4,23,0,0,0.72,2,1,0,0
objective,0,0,5,9,0,0,-0.82,0,0,0,0
neutral,0,0,2,26,0,0,-0.49,2,1,0,0
positive,3,0,3,21,0,0,1.31,3,0,2,2
objective,0,0,5,24,0,0,-1.57,1,3,0,0
positive,1,0,1,18,0,0,-0.95,0,0,1,1
neutral,0,0,0,6,0,0,-0.59,0,0,0,0
positive,2,0,0,25,0,0,-1.23,2,0,1,1
positive,5,0,0,29,0,0,-1.39,5,3,2,2
objective,0,0,1,15,0,0,-1.00,0,1,0,0
positive,0,0,1,16,0,0,-0.74,2,0,3,3
positive,3,0,0,19,0,0,0.95,2,2,3,3
neutral,0,0,3,25,0,0,-2.32,1,1,1,1
negative,0,0,3,7,0,0,-0.67,0,0,0,0
objective,0,0,4,27,0,0,-2.03,0,0,1,1
objective,1,0,3,16,0,0,-1.08,0,1,0,0
positive,0,0,1,8,0,0,-0.97,0,2,0,0
positive,0,0,0,28,3,0,-1.42,2,1,2,2
positive,0,0,1,16,0,0,-0.31,1,0,1,1
objective,0,5,0,10,0,0,-1.00,0,0,0,0
positive,0,0,2,13,0,0,-1.00,1,0,1,1
positive,2,0,0,13,0,0,-0.82,3,1,2,2
negative,0,0,2,21,0,0,-0.92,0,2,0,0
positive,1,0,2,13,0,0,-0.59,1,0,1,1
objective,1,1,3,31,0,0,-1.78,2,3,0,0
positive,1,0,7,28,0,0,-1.02,1,0,1,1
positive,0,0,0,14,0,0,-1.80,0,1,0,0
positive,0,0,0,23,1,0,-0.56,1,0,1,1
neutral,0,0,9,24,0,0,-0.91,1,1,1,1
negative,1,0,1,26,0,0,-0.12,1,1,0,0
objective,1,0,4,26,0,0,-2.78,2,1,1,1
neutral,0,0,2,18,0,0,0.18,1,1,0,0
positive,0,0,1,8,0,0,0.09,0,0,0,0
positive,1,0,1,23,0,0,-1.77,1,0,3,3
negative,0,2,0,10,0,0,-0.67,0,0,0,0
positive,0,0,1,18,0,0,0.06,1,0,1,1
objective,0,0,4,23,0,0,-2.04,3,3,0,0
objective,0,0,4,21,0,0,0.37,1,1,0,0
objective,0,0,4,24,0,0,-2.81,2,1,0,0
neutral,0,0,0,28,1,0,-1.88,2,2,0,0
positive,0,0,0,14,1,0,0.00,1,0,0,0
neutral,1,0,4,24,0,0,-0.98,1,2,0,0
neutral,0,0,2,7,0,0,-0.67,1,1,1,1
neutral,0,0,3,29,0,0,-0.13,2,0,0,0
negative,0,0,2,29,0,0,-1.45,0,4,1,1
positive,0,0,5,21,0,0,-0.52,1,0,2,2
positive,0,0,2,15,0,0,-1.53,2,1,1,1
objective,0,2,0,24,0,0,-1.09,1,0,2,2
negative,0,0,5,26,0,0,-0.79,2,5,0,0
objective,1,0,0,20,0,0,-1.57,2,0,1,1
neutral,0,0,5,21,0,0,-1.00,1,1,0,0
objective,0,0,2,24,0,0,-1.19,1,0,0,0
negative,1,0,0,14,0,0,-1.22,0,1,0,0
negative,0,0,2,27,0,0,-1.24,2,1,1,1
neutral,0,0,0,16,0,0,-0.57,0,0,1,1
negative,0,0,1,22,0,0,-1.85,1,1,1,1
negative,0,0,3,25,0,0,-2.80,0,0,0,0
negative,0,0,2,14,0,0,-0.97,1,0,1,1
positive,1,0,0,7,1,0,-0.37,0,0,0,0
neutral,0,0,1,9,0,0,-0.67,0,1,0,0
neutral,0,0,1,25,0,0,-0.96,4,5,0,0
neutral,0,0,1,26,0,0,-0.98,1,0,1,1
positive,0,1,0,19,0,0,0.15,1,0,2,2
objective,0,0,2,21,0,0,-1.19,0,0,0,0
neutral,0,0,0,13,0,0,-0.42,2,1,1,1
objective,3,0,0,15,0,0,-1.65,1,0,0,0
objective,0,0,4,24,0,0,-1.11,0,1,0,0
neutral,0,0,4,21,0,0,-0.09,2,1,0,0
positive,0,0,2,12,0,0,0.10,1,2,0,0
positive,3,0,8,25,1,0,-0.71,2,1,2,2
neutral,1,0,0,3,1,0,-0.25,0,0,0,0
negative,0,0,4,15,0,0,-0.36,1,1,1,1
positive,0,0,2,23,0,0,0.35,1,1,1,1
objective,1,0,1,15,0,0,-0.46,0,0,0,0
positive,0,1,0,20,0,0,-1.41,0,0,0,0
objective,0,0,2,26,0,0,-1.54,2,1,1,1
negative,0,0,4,18,0,0,-0.01,0,1,0,0
objective,0,0,4,27,1,0,-0.53,0,1,1,1
positive,3,1,2,24,0,0,-1.44,2,1,0,0
objective,0,0,4,28,0,0,-1.03,0,1,0,0
positive,0,0,0,12,0,0,-0.66,1,0,1,1
objective,0,0,1,24,0,0,-1.51,2,2,0,0
neutral,0,0,1,17,0,0,-0.69,0,2,0,0
positive,0,0,3,26,0,0,-1.27,1,2,1,1
positive,1,1,0,20,0,0,-0.73,3,1,4,4
negative,1,2,2,20,0,0,0.46,1,1,2,2
objective,0,0,1,21,0,0,-1.67,3,4,1,1
positive,1,0,1,14,0,0,-1.00,1,0,1,1
neutral,0,0,0,10,0,0,-1.31,0,2,0,0
objective,0,0,4,24,0,0,-1.40,1,2,0,0
positive,0,0,2,25,0,0,-0.23,1,1,1,1
positive,0,0,3,26,0,0,-0.11,1,1,1,1
positive,0,0,0,23,0,0,-1.94,1,0,1,1
positive,22,0,0,4,0,0,0.00,0,0,0,0
negative,0,0,1,25,0,0,1.08,2,1,2,2
neutral,0,0,0,8,0,0,0.30,1,0,1,1
negative,0,0,4,26,0,0,-1.10,2,2,1,1
negative,0,0,0,12,0,0,-0.97,0,1,0,0
objective,3,0,4,23,0,0,-2.44,1,0,2,2
positive,0,0,2,14,0,0,-0.74,4,1,3,3
positive,0,0,1,15,0,0,-1.00,0,1,0,0
positive,3,0,0,19,1,0,-0.20,1,0,1,1
positive,0,0,0,12,0,0,-0.57,3,0,1,1
positive,0,0,0,15,0,0,-0.47,1,1,2,2
positive,0,0,2,14,0,0,-0.98,3,2,1,1
neutral,0,1,1,22,0,0,-0.68,2,3,0,0
positive,1,0,0,25,0,0,0.05,2,1,2,2
negative,0,0,2,17,0,0,-1.56,1,2,0,0
neutral,1,1,1,23,0,0,0.70,3,1,2,2
positive,0,1,1,20,0,0,1.23,0,0,0,0
objective,2,0,1,21,0,0,-0.13,0,0,0,0
negative,0,1,3,34,0,0,-3.24,5,2,3,3
negative,0,0,2,20,0,0,-0.16,0,2,0,0
neutral,0,0,1,6,0,0,0.77,0,0,0,0
negative,0,0,1,23,0,0,-1.80,0,0,0,0
neutral,0,0,1,23,0,0,-0.38,0,1,0,0
positive,0,0,4,16,0,0,0.45,1,0,0,0
negative,0,0,2,24,0,0,-0.57,2,1,1,1
objective,0,0,2,19,0,0,-1.33,0,0,2,2
positive,0,0,4,23,0,0,-1.66,0,1,1,1
positive,0,0,3,24,0,0,-3.47,3,0,2,2
neutral,0,0,1,15,0,0,-0.71,1,1,0,0
neutral,0,0,2,20,0,0,-0.28,1,1,1,1
positive,0,0,3,26,0,0,-0.90,5,3,2,2
negative,0,0,0,14,0,0,0.00,1,2,0,0
positive,0,0,2,22,0,0,-1.80,1,1,1,1
objective,0,0,6,20,0,0,-2.00,0,1,0,0
positive,1,0,2,15,0,0,0.35,2,0,1,1
positive,1,0,0,19,0,0,0.41,1,0,0,0
objective,0,3,0,22,0,0,0.24,1,0,0,0
positive,0,0,2,27,0,0,-1.14,3,1,2,2
objective,0,0,2,18,0,0,-0.20,0,0,0,0
neutral,1,0,2,21,0,0,-1.36,1,1,0,0
neutral,0,0,4,23,0,0,-0.07,1,1,1,1
neutral,0,0,5,10,0,0,0.28,0,0,0,0
neutral,0,0,1,18,0,0,-0.77,0,0,0,0
negative,0,3,0,20,0,0,-0.39,0,1,0,0
positive,0,0,3,12,0,0,0.33,0,0,0,0
neutral,3,3,0,24,0,0,-0.20,0,0,0,0
neutral,3,1,0,13,0,0,-0.44,0,0,0,0
negative,0,1,0,32,0,0,2.20,1,2,0,0
positive,1,0,3,21,0,0,0.98,1,1,0,0
positive,1,0,3,28,0,0,-0.33,2,1,1,1
positive,0,0,3,26,0,0,-1.34,3,0,1,1
negative,0,0,2,25,0,0,0.23,3,1,2,2
negative,0,2,0,26,0,0,-0.42,3,1,3,3
objective,1,0,1,13,0,0,-0.33,0,0,1,1
neutral,1,0,1,21,0,0,-1.36,2,3,0,0
positive,0,0,5,23,0,0,-2.50,0,2,0,0
positive,0,0,5,26,0,0,-0.97,2,1,3,3
objective,0,0,3,28,0,0,0.54,0,1,0,0
positive,0,0,1,18,0,0,-1.40,0,0,2,2
objective,0,0,6,22,0,0,-1.52,1,0,0,0
objective,0,0,1,26,0,0,-1.61,0,1,0,0
positive,0,0,0,11,0,0,-0.67,1,0,1,1
positive,1,0,2,24,0,0,-1.44,2,2,1,1
positive,8,0,0,12,0,0,-1.65,2,1,0,0
negative,0,0,0,19,0,0,-0.32,0,1,0,0
objective,0,0,0,16,0,0,-0.48,0,1,0,0
negative,0,0,1,21,0,0,-0.99,1,1,0,0
neutral,0,0,1,18,0,0,-1.66,0,0,0,0
positive,0,0,2,24,0,0,-2.05,0,0,0,0
negative,0,0,0,18,0,0,0.31,2,1,1,1
positive,2,0,0,17,1,0,-1.37,1,2,1,1
positive,0,0,0,7,0,0,-0.33,0,0,0,0
positive,0,0,5,23,0,0,-1.60,2,0,3,3
negative,0,0,4,24,0,0,-0.76,2,3,2,2
objective,0,0,3,17,0,0,-1.06,0,1,0,0
negative,0,1,1,22,0,0,-0.07,1,0,0,0
neutral,1,0,2,5,0,0,0.00,0,0,0,0
neutral,3,0,2,22,0,0,-0.32,3,2,2,2
positive,2,0,0,29,1,0,0.53,4,1,4,4
positive,3,0,1,11,0,0,-0.55,0,2,0,0
positive,0,0,0,11,0,0,-0.76,3,0,1,1
neutral,0,0,2,29,0,0,-3.80,0,0,0,0
positive,0,0,2,31,0,0,-1.15,4,0,3,3
neutral,2,0,1,27,0,0,2.01,3,0,1,1
negative,0,1,1,25,0,0,0.21,0,2,1,1
positive,0,0,1,19,0,0,-1.33,1,0,2,2
negative,0,0,2,32,0,0,-4.16,0,1,0,0
objective,0,0,5,21,0,0,-0.71,0,0,0,0
neutral,0,0,5,24,0,0,0.74,2,1,1,1
positive,3,1,0,16,1,0,0.52,0,0,1,1
objective,0,0,3,25,0,0,-0.99,1,0,1,1
positive,0,0,2,18,0,0,-0.94,0,0,1,1
objective,1,0,1,20,0,0,-1.87,3,0,4,4
negative,0,0,0,20,0,0,-0.62,2,0,2,2
positive,3,0,1,19,1,0,-1.00,0,1,0,0
positive,0,0,3,24,1,0,0.11,5,2,2,2
positive,0,0,1,21,1,0,-1.52,0,0,0,0
positive,0,0,4,24,0,0,-0.01,2,2,2,2
objective,0,1,1,21,0,0,-0.59,0,0,0,0
negative,0,0,1,23,0,0,0.35,1,0,1,1
neutral,0,0,0,10,0,0,1.16,1,0,0,0
objective,0,0,2,21,0,0,-1.33,0,3,0,0
positive,2,1,2,45,0,0,-1.40,2,3,1,1
positive,0,0,0,18,0,0,-0.85,2,2,0,0
objective,0,0,2,23,0,0,-1.97,2,3,0,0
neutral,2,0,0,22,0,0,-0.52,1,3,1,1
objective,0,0,4,24,0,0,-0.68,0,1,0,0
positive,0,0,1,20,0,0,-0.71,3,3,1,1
neutral,0,1,0,24,0,0,-1.31,1,0,1,1
positive,1,0,2,20,0,0,0.61,1,0,0,0
negative,0,0,2,7,0,0,-0.29,1,0,0,0
negative,2,0,0,9,0,0,-1.30,0,2,0,0
neutral,0,0,0,26,0,0,-0.78,2,0,1,1
objective,0,1,1,18,0,0,-0.38,0,0,0,0
objective,0,0,0,5,0,0,-0.33,0,0,1,1
positive,0,0,2,28,0,0,-2.06,0,1,2,2
neutral,0,0,1,21,0,0,-1.10,0,1,0,0
positive,0,0,0,14,1,0,0.01,0,0,1,1
neutral,0,0,1,23,0,0,-1.95,0,0,0,0
neutral,0,0,0,20,0,0,-1.28,2,1,1,1
neutral,0,0,4,23,0,0,-0.38,2,1,0,0
positive,0,0,2,21,0,0,-2.72,0,0,0,0
neutral,0,0,4,24,0,0,-1.48,0,0,0,0
positive,0,1,0,30,0,0,-2.49,3,1,1,1
negative,0,2,0,22,0,0,-0.59,1,1,1,1
objective,0,0,1,20,0,0,-1.67,1,0,0,0
positive,11,0,0,23,0,0,-1.63,1,1,2,2
positive,1,0,0,17,0,0,0.29,3,0,2,2
neutral,0,1,1,19,0,0,-1.21,0,2,0,0
neutral,0,0,3,17,0,0,-0.98,1,1,2,2
negative,0,0,1,16,0,0,0.42,3,3,1,1
positive,0,0,2,23,0,0,-0.60,1,2,2,2
neutral,0,0,4,29,0,0,-2.58,1,1,2,2
negative,0,0,4,22,0,0,0.35,1,1,0,0
positive,0,0,1,13,0,0,-1.08,0,0,2,2
positive,0,0,0,13,0,0,-2.15,2,0,1,1
neutral,0,0,2,13,1,0,-0.30,1,1,1,1
negative,0,0,4,21,0,0,0.36,0,1,0,0
neutral,0,0,2,31,0,0,-2.24,2,0,1,1
positive,1,0,0,10,0,0,0.61,1,0,0,0
objective,0,0,2,26,0,0,-3.13,1,2,1,1
neutral,0,0,2,15,0,0,0.26,2,1,1,1
negative,0,1,1,28,0,0,2.17,1,3,2,2
positive,2,0,1,14,0,0,0.57,2,0,1,1
positive,0,0,0,10,0,0,-0.35,0,0,0,0
objective,0,0,2,24,0,0,-0.60,1,2,2,2
positive,1,0,1,10,0,0,0.26,1,0,3,3
neutral,0,0,1,17,0,0,-1.20,0,1,0,0
positive,1,0,4,14,0,0,0.25,1,0,1,1
positive,1,0,0,26,0,0,-0.31,3,0,4,4
positive,0,0,2,25,0,0,-1.29,2,1,2,2
negative,0,0,1,17,0,0,-2.24,0,0,0,0
objective,0,0,0,19,0,0,-0.66,2,2,0,0
objective,0,0,7,24,0,0,-1.06,2,4,0,0
positive,1,0,6,16,1,0,0.89,1,0,1,1
positive,2,0,2,27,0,0,-0.94,1,2,2,2
positive,2,0,0,28,0,0,0.50,1,1,0,0
positive,0,0,2,18,0,0,-1.01,2,1,1,1
positive,5,0,4,26,0,0,-3.37,4,3,0,0
neutral,1,0,0,6,0,0,0.28,0,0,1,1
neutral,0,2,0,22,0,0,-1.95,0,1,0,0
neutral,0,0,1,23,0,0,-1.22,0,0,0,0
objective,0,0,4,22,0,0,-0.57,0,0,0,0
neutral,0,0,5,25,0,0,-0.59,2,0,0,0
objective,0,0,1,18,0,0,-1.58,1,1,0,0
neutral,0,1,0,13,0,0,-1.36,1,0,1,1
positive,4,0,0,16,0,0,-1.14,2,0,1,1
positive,5,0,0,18,1,0,-0.73,1,0,1,1
negative,1,0,3,27,0,0,-0.44,3,2,1,1
positive,1,0,1,21,0,0,-1.15,2,2,1,1
positive,0,0,2,26,0,0,-2.53,2,0,1,1
positive,0,1,0,24,0,0,-1.30,3,2,1,1
positive,1,0,1,10,0,0,0.67,1,1,1,1
positive,1,0,0,12,0,0,-0.35,2,0,2,2
neutral,0,0,0,21,0,0,-1.03,1,0,1,1
objective,0,0,5,26,0,0,-0.79,2,5,0,0
neutral,0,0,1,26,0,0,-1.19,2,2,1,1
objective,0,0,1,10,0,0,-0.33,0,0,0,0
positive,1,0,0,14,1,0,0.23,2,1,1,1
negative,0,0,2,9,0,0,-0.24,1,1,0,0
negative,1,0,0,18,0,0,-1.26,1,1,0,0
objective,0,0,3,24,0,0,-0.81,0,0,0,0
positive,1,0,1,9,0,0,-0.27,2,1,1,1
positive,4,0,1,24,0,0,-0.41,3,4,2,2
negative,0,0,1,21,0,0,-1.26,0,0,1,1
positive,0,0,2,31,0,0,0.52,4,1,2,2
objective,1,0,0,26,0,0,-0.37,1,0,0,0
positive,3,0,1,23,0,0,-0.39,2,0,1,1
neutral,0,0,0,27,0,0,-0.21,1,1,0,0
positive,0,0,6,14,0,0,-0.34,1,1,1,1
negative,0,0,2,21,0,0,1.44,0,1,0,0
objective,0,0,3,27,0,0,0.23,4,1,0,0
positive,0,0,0,14,0,0,0.71,2,0,2,2
positive,0,1,1,22,0,0,-0.89,3,1,2,2
positive,0,0,1,20,0,0,-0.28,1,0,1,1
positive,0,0,2,24,2,0,-2.17,1,2,0,0
neutral,0,0,1,9,0,0,-0.01,1,1,0,0
negative,0,0,5,11,0,0,-0.59,0,2,0,0
positive,0,0,2,21,0,0,0.00,1,1,2,2
objective,0,0,0,16,0,0,-1.60,1,0,1,1
positive,0,0,2,24,1,0,-2.53,4,4,3,3
neutral,0,0,2,20,0,0,-1.58,3,0,1,1
neutral,0,0,4,23,0,0,-0.61,0,2,0,0
neutral,0,0,5,25,0,0,-1.51,1,0,0,0
negative,0,0,5,28,0,0,-1.63,1,3,0,0
negative,0,0,0,23,0,0,-1.87,2,0,1,1
negative,1,0,3,27,0,0,-1.64,2,3,0,0
negative,1,0,0,6,0,0,-0.00,0,0,0,0
positive,1,1,1,20,0,0,-1.41,0,0,0,0
neutral,1,0,1,27,0,0,-1.64,4,3,2,2
positive,2,0,1,24,0,0,-0.74,3,1,2,2
objective,0,0,5,26,0,0,-1.77,2,0,0,0
positive,2,0,0,11,1,0,0.36,2,3,1,1
negative,0,1,0,11,0,0,0.49,2,0,0,0
positive,0,0,0,20,0,0,-0.55,3,0,3,3
positive,0,0,2,23,0,0,-0.74,3,0,3,3
positive,1,0,2,28,0,0,-0.05,2,0,2,2
negative,0,0,2,22,0,0,-1.02,1,2,0,0
positive,2,0,1,24,0,0,-0.93,4,1,2,2
negative,1,0,0,24,0,0,-0.74,0,3,0,0
positive,0,0,1,17,0,0,-2.01,0,0,0,0
positive,1,0,0,20,1,0,-1.00,1,0,0,0
negative,0,2,1,24,0,0,-0.22,2,0,0,0
neutral,2,0,0,21,0,0,-0.05,3,4,2,2
positive,1,0,2,25,0,0,-2.83,1,2,1,1
positive,1,1,0,17,0,0,-0.59,0,1,0,0
negative,2,0,1,24,0,0,-1.01,1,3,0,0
positive,0,0,2,18,0,0,-0.06,3,0,3,3
positive,1,0,0,13,0,0,-1.24,2,0,1,1
negative,0,0,0,22,0,0,-1.25,1,1,1,1
neutral,0,0,2,18,0,0,-0.58,0,0,1,1
objective,1,0,4,24,0,0,0.20,4,4,1,1
positive,2,0,1,27,0,0,-1.32,1,1,0,0
neutral,0,0,1,20,0,0,0.34,2,1,2,2
positive,0,1,0,14,0,0,0.00,0,0,0,0
objective,0,0,4,23,0,0,-0.25,1,0,0,0
neutral,0,0,0,6,0,0,-0.28,0,1,0,0
negative,0,0,1,15,0,0,0.25,0,0,0,0
positive,2,0,1,26,0,0,-3.20,1,0,1,1
positive,0,0,2,20,0,0,-2.31,0,0,1,1
negative,0,0,5,20,0,0,-0.24,2,0,1,1
positive,0,0,3,25,1,0,-2.22,4,0,2,2
negative,0,0,2,16,0,0,0.08,0,2,0,0
objective,1,0,5,27,0,0,-0.66,0,0,1,1
neutral,0,0,0,22,0,0,-0.59,0,3,0,0
positive,2,0,0,25,0,0,-2.03,0,0,1,1
neutral,2,4,1,13,0,0,0.34,1,0,1,1
neutral,0,1,1,25,0,0,-0.34,0,1,1,1
neutral,1,0,8,25,0,0,-1.04,1,1,1,1
positive,1,0,1,22,0,0,-0.36,2,1,2,2
neutral,0,2,0,20,0,0,-1.55,0,0,1,1
neutral,0,0,0,20,0,0,-0.90,0,0,0,0
objective,0,0,2,31,0,0,-0.29,2,0,0,0
positive,4,0,0,26,0,0,-1.97,3,3,0,0
negative,0,0,1,21,0,0,-1.28,1,2,0,0
positive,1,0,1,13,0,0,-0.70,2,0,1,1
objective,0,1,0,16,0,0,-1.55,2,1,0,0
positive,1,0,1,24,0,0,-0.44,2,0,2,2
neutral,0,0,4,24,0,0,0.22,4,0,2,2
positive,1,0,1,17,0,0,-0.09,1,0,1,1
positive,0,0,1,27,0,0,-0.71,1,1,4,4
positive,0,1,0,16,0,0,-0.14,0,1,0,0
neutral,0,0,4,24,0,0,-0.77,0,1,0,0
objective,0,0,1,20,0,0,-1.24,0,2,0,0
negative,1,0,0,27,0,0,-0.44,2,3,1,1
positive,2,0,0,24,1,0,0.65,2,0,2,2
objective,0,0,2,26,0,0,-1.57,1,2,0,0
neutral,1,1,4,26,0,0,-0.78,1,1,0,0
positive,0,0,0,10,0,0,0.29,1,1,1,1
positive,1,0,1,22,0,0,0.97,2,0,2,2
positive,2,0,0,19,0,0,-0.92,1,1,1,1
neutral,2,0,1,22,0,0,0.41,0,0,0,0
positive,5,1,0,24,0,0,-0.28,1,1,2,2
positive,0,0,2,23,0,0,-0.93,3,0,1,1
positive,0,0,1,18,0,0,-0.10,1,0,1,1
